ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT,image
0.0643191710114,0.0172940641642,0.0235592965037,0.0108401570469,0.81908172369,0.012362617068,0.00621663127095,0.0463263578713,img_01673.jpg
0.141909062862,0.0500884801149,0.11820229888,0.0157260913402,0.289563804865,0.0321338996291,0.0397941879928,0.312582194805,img_00129.jpg
0.0467036291957,0.0144603643566,0.0209824386984,0.00870328955352,0.854566276073,0.00991253647953,0.00552365928888,0.0391477905214,img_05059.jpg
0.0861188620329,0.0194501969963,0.0222981609404,0.0134140439332,0.789984583855,0.0150805013254,0.00614971294999,0.0475039705634,img_04136.jpg
0.0652576386929,0.0168591775,0.0215348247439,0.0110069001094,0.824257731438,0.0122872674838,0.00573172513396,0.0430647023022,img_05119.jpg
0.0689582750201,0.0166699364781,0.0193285867572,0.0115471035242,0.825524806976,0.0125747071579,0.00521025713533,0.0401863381267,img_03454.jpg
0.0405975021422,0.0254361070693,0.077748477459,0.00890147220343,0.648777842522,0.013458958827,0.0171455815434,0.167934045196,img_05264.jpg
0.0765539705753,0.0185575820506,0.0229538083076,0.0122909583151,0.802341878414,0.013874836266,0.00619755173102,0.0472293496132,img_05341.jpg
0.0521491207182,0.0157906748354,0.023474637419,0.00937901251018,0.838099122047,0.0108423791826,0.00611442606896,0.0441505461931,img_07191.jpg
0.149763002992,0.0588913299143,0.0954614281654,0.0106090037152,0.0378664284945,0.0428602322936,0.0966568216681,0.507891714573,img_05572.jpg
0.0721005573869,0.0179729703814,0.022718988359,0.0117778824642,0.80991178751,0.0132614569739,0.00608180696145,0.0461745634675,img_00648.jpg
0.0780356526375,0.0228459890932,0.0382607802749,0.0122437346727,0.746636271477,0.0157664306462,0.0100830113515,0.076128192246,img_04061.jpg
0.0408076792955,0.0263145677745,0.0827355459332,0.00897884368896,0.628118693829,0.0137219047174,0.0180524550378,0.181270286441,img_01803.jpg
0.0642313584685,0.0172952711582,0.0236023273319,0.0108290584758,0.819073855877,0.0123558975756,0.0062262667343,0.0463859513402,img_06547.jpg
0.0711968690157,0.018070936203,0.0234406422824,0.0116517953575,0.808914482594,0.0132239172235,0.00625564856455,0.0472457334399,img_07149.jpg
